product_id,name,category,price
97,Me Home,Automotive,27.01
98,Change Forward,Home & Garden,26.08
99,Theory Service,Sports,20.19
100,How Oil,Home & Garden,15.89
101,Agree Production,Books,4.88
102,Leader Race,Jewelry,13.19
103,Game Individual,Jewelry,14.26
104,Could General,Sports,9.0
105,Position Think,Health,17.09
106,Soon Already,Toys,30.09
107,Quickly Fear,Health,132.45
108,Game Others,Toys,23.92
109,Something Outside,Beauty,25.99
110,Among Use,Books,18.64
111,Much Arrive,Home & Garden,2.95
112,Several Series,Jewelry,19.56
113,Sell Cause,Automotive,21.33
114,Model Attack,Clothing,235.86
115,Within Author,Electronics,16.57
116,Challenge Civil,Clothing,27.15
117,Blue Necessary,Home & Garden,19.4
118,Common Yard,Home & Garden,6.24
119,Sell Easy,Toys,62.98
120,Best Somebody,Health,42.6
121,Here Heavy,Clothing,44.3
122,Ground Beat,Toys,8.09
123,Itself Gun,Toys,81.68
124,Social Available,Health,4.94
125,Mind Institution,Automotive,36.12
126,Offer Assume,Jewelry,179.55
127,Network Keep,Sports,7.46
128,Quality Strategy,Jewelry,11.4
129,Individual Run,Electronics,22.19
130,Clear Official,Clothing,12.14
131,Test Behind,Jewelry,4.26
132,Teach Despite,Sports,21.51
133,List Cold,Beauty,6.94
134,Business Source,Clothing,32.25
135,Which Trouble,Sports,8.01
136,Every Dream,Toys,94.63
137,Education Arrive,Home & Garden,9.18
138,Quite Result,Automotive,14.56
139,Open Agent,Electronics,45.31
140,Area Question,Sports,5.87
141,Threat Save,Jewelry,25.22
142,Down Measure,Home & Garden,74.23
143,And And,Jewelry,4.02
144,Discuss Son,Clothing,24.16
145,Early Claim,Sports,26.05
146,Truth Certain,Jewelry,43.9
147,Month Front,Health,5.83
148,Future Impact,Books,5.36
149,Something Protect,Home & Garden,33.85
150,Religious Individual,Beauty,27.03
151,After Mrs,Home & Garden,25.8
152,Southern Figure,Jewelry,28.4
153,Mind Agent,Jewelry,10.18
154,Relationship Send,Electronics,25.34
155,Same Join,Health,26.93
156,Oil Author,Beauty,9.83
157,Amount Decision,Automotive,129.77
158,Perform Also,Electronics,32.26
159,Detail Drug,Clothing,6.1
160,Pass Million,Beauty,38.73
161,Account Happy,Sports,7.58
162,Science Be,Books,44.13
163,Party Upon,Electronics,63.98
164,Hold Mr,Books,8.84
165,Way Them,Health,52.63
166,Community Industry,Clothing,30.35
167,Difference Civil,Clothing,45.7
168,Not Account,Automotive,133.86
169,Whole Product,Clothing,15.71
170,Size Prevent,Jewelry,9.45
171,Father Exactly,Home & Garden,8.25
172,Only House,Home & Garden,8.88
173,Much Important,Automotive,18.6
174,Collection They,Jewelry,28.25
175,Defense Somebody,Home & Garden,26.49
176,Political Establish,Sports,45.93
177,Good Deal,Jewelry,20.35
178,General Water,Health,85.93
179,Ever Increase,Toys,15.42
180,Call Rather,Books,304.96
181,Feeling Live,Jewelry,37.55
182,Air Like,Books,8.52
183,Player Reach,Sports,6.88
184,Remain Music,Toys,32.54
185,Speech Into,Beauty,16.06
186,Democratic Crime,Automotive,41.02
187,Budget Analysis,Jewelry,32.24
188,Impact Summer,Automotive,18.67
189,Both Situation,Clothing,8.61
190,Worker Two,Books,4.42
191,Describe Decision,Books,12.85
192,Song Over,Clothing,47.29
193,Simply Small,Beauty,24.88
194,Fire There,Electronics,5.78
195,Road Represent,Health,23.88
196,Difficult Various,Jewelry,29.53
197,Personal Television,Books,8.3
198,Floor Herself,Health,23.42
199,Major Arm,Books,21.29
200,Raise Produce,Electronics,6.4
201,Drug Our,Clothing,28.73
202,Voice Usually,Electronics,35.19
203,Threat Entire,Books,59.33
204,Director Much,Clothing,57.62
205,Agent Force,Electronics,5.06
206,Actually Direction,Beauty,7.86
207,Themselves Course,Clothing,33.62
208,Traditional Goal,Jewelry,33.58
209,Design Money,Books,33.62
210,Your Service,Sports,946.46
211,Important Service,Automotive,35.55
212,Generation Lot,Books,62.52
213,Include Play,Jewelry,52.14
214,Some Company,Home & Garden,38.53
215,Wife Million,Health,14.65
216,Media Option,Health,42.9
217,Picture Feeling,Automotive,9.27
218,Stuff Region,Books,15.85
219,Tough Writer,Automotive,12.36
220,Energy Bank,Toys,21.8
221,Practice Both,Books,203.3
222,Usually A,Clothing,3.1
223,Tonight Allow,Clothing,39.9
224,President Apply,Toys,4.0
225,Tough Activity,Beauty,12.53
226,Your Eye,Toys,59.68
227,Wonder A,Toys,21.42
228,Floor Light,Automotive,6.84
229,I Shoulder,Electronics,9.82
230,Out Collection,Clothing,39.63
231,Bill Argue,Electronics,9.68
232,Hold Dinner,Toys,24.94
233,Race Cut,Beauty,21.02
234,Land Site,Clothing,10.47
235,Under Hotel,Books,171.39
236,Bag Far,Books,37.86
237,Key Ready,Books,2.65
238,Age Finish,Jewelry,24.2
239,Speech Already,Automotive,10.36
240,Way Call,Home & Garden,47.11
241,Five Change,Toys,9.09
242,Everyone Loss,Home & Garden,17.91
243,Wonder Work,Sports,33.28
244,Very Such,Automotive,47.74
245,Who Democratic,Books,6.05
246,Camera Wide,Clothing,14.38
247,Provide Size,Automotive,12.49
248,Rest Structure,Jewelry,10.45
249,Allow Up,Clothing,117.38
250,Word Work,Electronics,30.11
251,Maybe Contain,Jewelry,5.69
252,Address Budget,Electronics,50.29
253,Before Share,Clothing,167.7
254,Easy Lose,Books,56.4
255,True Various,Home & Garden,4.4
256,Particularly Run,Toys,12.38
257,Onto Explain,Automotive,71.3
258,Expect Agency,Automotive,9.9
259,Scientist Order,Books,31.31
260,Media At,Toys,43.58
261,Side Role,Electronics,7.95
262,Claim Dinner,Home & Garden,18.92
263,Attention Information,Toys,0.79
264,Resource Huge,Electronics,7.21
265,All Always,Toys,15.6
266,Modern Lay,Sports,5.77
267,Then Make,Automotive,102.76
268,Itself Continue,Sports,4.81
269,Add Part,Toys,12.94
270,Watch Another,Jewelry,22.89
271,Realize At,Automotive,84.88
272,Speech Under,Home & Garden,4.78
273,Fast Security,Books,64.27
274,Father Serve,Sports,20.29
275,Measure Degree,Books,7.53
276,Suffer Example,Electronics,31.88
277,Agent Remain,Health,24.51
278,Expert Try,Jewelry,11.02
279,Cup Easy,Electronics,21.54
280,Road Line,Beauty,13.66
281,Take Ability,Electronics,22.5
282,Rate Another,Electronics,38.94
283,Tv Order,Health,98.1
284,Thing Tough,Automotive,5.83
285,Learn Operation,Jewelry,169.53
286,Scientist Middle,Jewelry,2.85
287,Strong Each,Home & Garden,17.26
288,Senior Thus,Electronics,36.17
289,Situation Anyone,Jewelry,26.6
290,Few Himself,Clothing,10.78
291,Behavior Piece,Home & Garden,16.31
292,Hold Loss,Clothing,12.27
293,Tend Marriage,Health,11.14
294,Off Common,Clothing,46.97
295,Hour Reason,Books,28.7
296,Week Hot,Toys,10.05
297,She Ok,Clothing,49.38
298,Now Child,Health,27.31
299,Full Simple,Books,45.28
300,Purpose Hand,Health,37.7
301,Investment Contain,Health,8.77
302,Partner Interest,Electronics,11.47
303,Hotel Manage,Health,42.41
304,Hand Speak,Clothing,36.98
305,Final Choose,Toys,19.67
306,Teach Remember,Health,22.59
307,Society Visit,Health,72.07
308,Miss Republican,Jewelry,11.12
309,Occur Involve,Beauty,34.71
310,Here Lay,Sports,16.41
311,Before Play,Books,16.16
312,Environment Value,Beauty,60.27
313,Certain Go,Books,45.85
314,Window Her,Sports,45.31
315,Quite Man,Toys,74.1
316,Little Some,Home & Garden,20.51
317,Notice Training,Sports,39.72
318,Response Community,Automotive,14.73
319,Voice And,Beauty,27.78
320,Gun Move,Clothing,17.63
321,Why Trade,Electronics,22.13
322,Process Check,Automotive,36.42
323,Place Growth,Health,8.86
324,Now Project,Health,162.78
325,Theory Size,Clothing,7.34
326,Collection Today,Clothing,5.96
327,Success Painting,Jewelry,63.95
328,Chair Team,Books,44.33
329,Structure Describe,Jewelry,37.49
330,Thank Room,Sports,37.65
331,Individual Beat,Home & Garden,19.84
332,Than Kind,Beauty,8.19
333,Up Brother,Clothing,21.67
334,More Off,Books,10.2
335,Analysis Nature,Beauty,53.26
336,Body Parent,Sports,17.34
337,Above Environmental,Home & Garden,8.8
338,World Oil,Automotive,14.56
339,Red Year,Jewelry,30.35
340,Community Sister,Sports,11.43
341,Dream Return,Health,8.83
342,Security Store,Jewelry,25.63
343,Good Middle,Electronics,25.66
344,But Gas,Jewelry,12.1
345,Sign Think,Sports,12.54
346,Subject Hour,Clothing,25.33
347,Official Write,Home & Garden,4.72
348,Indicate Necessary,Sports,4.92
349,Realize Ten,Clothing,9.79
350,Increase Discuss,Clothing,16.22
351,Part Have,Jewelry,27.41
352,So Involve,Home & Garden,87.83
353,Rise Society,Sports,47.35
354,Born Draw,Sports,17.12
355,Push Quickly,Health,19.71
356,Long Clearly,Books,7.37
357,They Rule,Beauty,19.72
358,Want Some,Books,15.05
359,Cup Sense,Sports,27.74
360,A Walk,Jewelry,8.78
361,Student Mother,Automotive,33.76
362,Such Box,Sports,93.01
363,Mission Charge,Electronics,18.02
364,Whole Away,Clothing,30.02
365,Run Follow,Toys,40.05
366,Effort Someone,Sports,13.45
367,Into Floor,Electronics,25.13
368,That Determine,Electronics,20.34
369,Number Pull,Beauty,22.15
370,Big Teacher,Home & Garden,9.27
371,Cut Agent,Sports,20.58
372,Admit Allow,Home & Garden,33.05
373,Find Camera,Automotive,85.72
374,Despite Cultural,Jewelry,52.42
375,Their Stand,Toys,172.98
376,Response Away,Jewelry,9.32
377,Audience Environment,Electronics,48.05
378,Local By,Clothing,24.13
379,Knowledge You,Clothing,179.43
380,Help Recently,Home & Garden,8.95
381,Interesting Action,Jewelry,8.67
382,Save Picture,Electronics,11.03
383,First Gun,Beauty,2.4
384,Important House,Health,11.87
385,Detail Fly,Jewelry,9.4
386,Later President,Home & Garden,23.35
387,Perform Wide,Toys,28.27
388,Mean Prove,Home & Garden,131.13
389,Possible Personal,Electronics,51.96
390,Analysis Respond,Sports,11.28
391,Million Almost,Beauty,8.18
392,Money Front,Electronics,32.85
393,Have Allow,Beauty,5.36
394,Especially School,Books,125.39
395,Material Traditional,Books,65.33
396,Subject Identify,Clothing,12.56
397,Soldier Nothing,Beauty,3.62
398,Speech Billion,Jewelry,77.78
399,Knowledge Risk,Toys,17.91
400,People Pressure,Health,69.26
401,Up Have,Home & Garden,4.08
402,Reveal Military,Books,11.03
403,Agreement Husband,Home & Garden,20.19
404,American Method,Home & Garden,21.05
405,Song Western,Toys,12.81
406,Before May,Electronics,37.44
407,Entire Of,Home & Garden,6.91
408,Best Beautiful,Beauty,17.42
409,Else Shake,Toys,22.65
410,Then Senior,Books,33.6
411,Program Win,Sports,40.92
412,Between Look,Home & Garden,6.52
413,Hundred So,Clothing,4.33
414,Green Effort,Toys,72.07
415,Pm Manager,Electronics,28.0
416,Already Future,Automotive,9.5
417,Force Old,Books,94.74
418,Standard Score,Books,22.55
419,Top Live,Automotive,65.32
420,Direction Positive,Beauty,21.49
421,Item Beyond,Sports,157.71
422,Action Return,Books,116.2
423,Career Personal,Books,15.66
424,Travel Republican,Electronics,53.07
425,Statement Ahead,Books,38.3
426,Worry Move,Toys,78.94
427,Light Authority,Beauty,7.65
428,Morning Course,Sports,39.89
429,Major Face,Clothing,57.88
430,Same Other,Sports,3.46
431,Important Suddenly,Beauty,6.15
432,Wish North,Jewelry,2.61
433,Ready Shake,Toys,15.34
434,Anything Environment,Jewelry,41.16
435,Pay Buy,Beauty,90.23
436,Save Nation,Electronics,21.63
437,Military Contain,Clothing,102.37
438,Week Live,Sports,5.05
439,Finally Too,Home & Garden,3.66
440,Commercial Among,Health,19.0
441,Fill Plant,Sports,29.49
442,Glass Last,Electronics,19.44
443,Break Right,Clothing,2.54
444,Clear Third,Health,18.37
445,Ball Decide,Toys,5.45
446,Meet Mention,Beauty,39.24
447,Enjoy Accept,Beauty,28.98
448,Impact Stand,Toys,7.85
449,Size Surface,Health,12.01
450,Ready Western,Jewelry,6.96
451,Control Spring,Clothing,18.87
452,However Animal,Toys,52.2
453,Five Cover,Health,7.5
454,Dog Grow,Books,33.25
455,Tree Result,Sports,11.82
456,Past Through,Electronics,9.09
457,Minute Drop,Toys,18.05
458,Sell Light,Electronics,7.13
459,System School,Jewelry,11.55
460,Yourself Which,Jewelry,6.06
461,Business Blood,Books,143.27
462,Community Chair,Beauty,20.81
463,Cause Sit,Toys,9.98
464,Your Point,Clothing,24.88
465,Order Agent,Beauty,17.95
466,Left Model,Health,16.1
467,Hit Study,Beauty,37.12
468,Say Law,Clothing,42.84
469,Against Section,Sports,11.82
470,Network Water,Jewelry,11.29
471,Rule Home,Sports,15.26
472,Prove Of,Toys,2.01
473,Born Kid,Beauty,4.41
474,Matter Along,Toys,78.8
475,Family Least,Sports,104.06
476,Onto Science,Jewelry,15.66
477,Knowledge Audience,Home & Garden,35.75
478,Attention Begin,Books,27.42
479,Everyone Understand,Toys,436.54
480,Red Help,Toys,61.53
481,May Institution,Home & Garden,17.67
482,Movement Wide,Health,7.72
483,Either What,Health,4.03
484,Without Type,Sports,24.62
485,Certain Camera,Toys,9.43
486,Agent Color,Jewelry,4.84
487,Before Own,Electronics,10.52
488,Culture Red,Sports,6.81
489,Debate Like,Sports,108.54
490,Receive Office,Books,48.5
491,Hour Onto,Toys,19.93
492,Everyone Mean,Health,88.23
493,Audience Strategy,Health,21.7
494,Realize Crime,Beauty,8.49
495,Pass Job,Automotive,92.12
496,Business Opportunity,Automotive,34.43
497,Among Each,Automotive,7.12
498,Degree Choice,Books,16.6
499,First Cell,Jewelry,8.37
500,Skin Science,Automotive,5.04
501,Include Activity,Home & Garden,50.71
502,Hot As,Clothing,135.56
503,Mrs Story,Sports,4.96
504,Actually Budget,Jewelry,35.27
505,Network Reduce,Health,10.48
506,Exactly Pay,Beauty,12.34
507,Nice Act,Clothing,11.11
508,Floor Up,Books,8.47
509,Talk Certain,Sports,21.08
510,Front Wife,Books,8.75
511,Either Traditional,Books,26.32
512,Media Suddenly,Home & Garden,19.1
513,Different Current,Electronics,15.82
514,Record May,Electronics,8.1
515,Mean Measure,Books,11.28
516,Difficult Bit,Automotive,42.75
517,Consider Important,Health,33.15
518,On Property,Clothing,7.56
519,Product Number,Automotive,22.18
520,Town Summer,Toys,42.58
521,Avoid Child,Health,3.78
522,Region Care,Books,34.58
523,Toward Mrs,Toys,10.35
524,Check Traditional,Automotive,35.54
525,Soon Author,Toys,9.36
526,Mean Must,Books,3.3
527,Baby Others,Home & Garden,3.95
528,Community Employee,Electronics,21.07
529,Produce Some,Clothing,26.04
530,Job Those,Toys,8.13
531,Process High,Books,38.04
532,Writer Down,Home & Garden,3.81
533,Their Everybody,Jewelry,18.8
534,Investment As,Automotive,5.98
535,Soldier Lay,Electronics,10.47
536,And Truth,Jewelry,21.06
537,Full Statement,Books,8.5
538,Indicate Ahead,Clothing,13.67
539,Data Remain,Automotive,54.94
540,She Word,Home & Garden,11.28
541,Hour Include,Automotive,46.33
542,Listen Police,Jewelry,6.49
543,Think Trial,Jewelry,34.12
544,Down Smile,Health,84.91
545,Whatever Care,Beauty,1.7
546,Measure Possible,Automotive,9.05
547,Street Mr,Health,35.77
548,Visit Investment,Jewelry,16.39
549,Race Try,Toys,29.11
550,Someone Prove,Jewelry,10.98
551,Coach Effort,Automotive,21.9
552,Place Near,Home & Garden,17.19
553,Field Modern,Automotive,64.57
554,Spring Bad,Automotive,25.9
555,Lead Plan,Sports,28.15
556,Allow Key,Books,13.3
557,Attorney Or,Sports,12.33
558,Become Sea,Jewelry,13.03
559,Wait Standard,Automotive,29.8
560,Child Spring,Books,13.18
561,Put Among,Sports,26.84
562,Hope Fall,Automotive,160.04
563,Increase Fast,Clothing,48.0
564,Majority Rate,Sports,14.5
565,Surface Whose,Books,66.77
566,Growth Floor,Sports,13.36
567,Think North,Beauty,2.62
568,Point General,Beauty,7.33
569,Wide Foot,Jewelry,3.09
570,Top Many,Clothing,14.13
571,Much Method,Home & Garden,20.46
572,Imagine Sometimes,Home & Garden,107.39
573,Try Those,Books,27.85
574,Rise Perform,Toys,16.13
575,Run Opportunity,Home & Garden,46.04
576,Wind Rest,Books,2.2
577,Point Place,Clothing,25.42
578,Recent Stock,Toys,43.42
579,Painting Certain,Toys,4.58
580,Manager Green,Beauty,63.04
581,Benefit Role,Jewelry,28.18
582,Might Guess,Automotive,13.26
583,No Nation,Toys,37.82
584,Practice Program,Electronics,194.55
585,At Enter,Books,24.09
586,Professional Executive,Toys,25.74
587,World Experience,Toys,12.69
588,Two Fight,Health,8.59
589,Phone Must,Electronics,46.08
590,Drive Form,Health,8.53
591,Within Western,Toys,21.58
592,Game What,Automotive,12.46
593,Education Others,Electronics,32.43
594,Cut Happen,Beauty,28.04
595,Follow Dark,Sports,56.69
596,That Government,Toys,12.06
597,National Require,Toys,15.33
598,Its Family,Jewelry,7.55
599,Everything Piece,Jewelry,12.88
600,Language Relationship,Health,29.29
